id,University,mfAcademicPayRatio,Type
106,Glasgow Caledonian University,1.03,Non-Arts
97,Glasgow School of Art,0.98,Arts
168,The University of Glasgow,1.19,Non-Arts
171,Heriot-Watt University,1.08,Non-Arts
100,"Queen Margaret University, Edinburgh",1.09,Non-Arts
104,The Robert Gordon University,1.07,Non-Arts
101,Royal Conservatoire of Scotland,1,Non-Arts
173,The University of St Andrews,1.18,Non-Arts
175,SRUC,1.12,Non-Arts
174,The University of Stirling,1.11,Non-Arts
169,The University of Strathclyde,1.08,Non-Arts
196,University of the Highlands and Islands,1.35,Non-Arts
105,The University of the West of Scotland,1.06,Non-Arts
184,The Queen's University of Belfast,1.19,Non-Arts
194,St Mary's University College,1.03,Non-Arts
193,Stranmillis University College,1.03,Non-Arts
185,University of Ulster,1.05,Non-Arts
